instance_id,source,size_class,family_id,stock_length,kerf,number_of_piece_types,total_demand,reference_method,reference_status,pattern_count,integer_optimum_bars,certified_lower_bound_bars,lp_bound_bars,exhaustive_optimum_bars,verification_passed,reference_error_message,baseline_run_count,baseline_optimal_run_count,baseline_objective_bars_median,gap_available,gap_unavailable_reason,gap_bars_per_repetition,gap_bars_median,zero_gap,detail
0fd9968211d0856be24e2eb710d30ea0d121b8ce7060a0fe45fb72c32917f389,results/phase-4-benchmark-runs.csv,SMALL,96bc46475a90fe1a58d8bde47415fa85dbc22bc83992b8892a2c6ba91e1e09b4,100.0,0.0,2,16,milp_on_enumerated_patterns,optimal,2,16,16.0,16.0,,True,,1,1,16.0,True,,0.0,0.0,True,
139c8f431ef38615737cb651076b3ef88e9780a2c891db925eae2ed33c1607a4,results/phase-4-benchmark-runs.csv,SMALL,36719ab4e0c949b81feafb8c0f083cbdedd273246f8ee63338e3fed04d8c88bc,100.0,0.0,3,27,milp_on_enumerated_patterns,optimal,3,27,27.0,27.0,,True,,1,1,27.0,True,,0.0,0.0,True,
2db8f04b0672b4e39578ab96c31e1989f5e93a806b484a143f83761c7a1f4c50,data/phase-6-final/manifest.json,LARGE,ecdaf63fdab485f4525ae4c3f6239db5fbf224d37475377f863478d7734f8ab7,100.0,0.0,6,28,milp_on_enumerated_patterns,optimal,7,23,23.0,23.0,,True,,3,3,23.0,True,,0.0;0.0;0.0,0.0,True,
2e8d6ecbaa342a376ff4bf4c2261c4dc9641091f94c4aebbb8364b9e2584f6af,data/phase-6-final/manifest.json,SMALL,96bc46475a90fe1a58d8bde47415fa85dbc22bc83992b8892a2c6ba91e1e09b4,100.0,0.0,2,12,milp_on_enumerated_patterns,optimal,2,7,7.0,7.0,,True,,3,3,7.0,True,,0.0;0.0;0.0,0.0,True,
35714b99e7af814094a2bd53d0a82a4c33fb1c3bcdedddf861740c744140d125,data/phase-6-final/manifest.json,LARGE,ecdaf63fdab485f4525ae4c3f6239db5fbf224d37475377f863478d7734f8ab7,100.0,0.0,6,35,milp_on_enumerated_patterns,optimal,6,30,30.0,29.5,,True,,3,3,30.0,True,,0.0;0.0;0.0,0.0,True,
3eb804881591494848f167ba7b26a2b9267a3ba54e1727e6932ff3b14cd58e50,data/phase-6-final/manifest.json,SMALL,96bc46475a90fe1a58d8bde47415fa85dbc22bc83992b8892a2c6ba91e1e09b4,100.0,0.0,2,15,milp_on_enumerated_patterns,optimal,2,12,12.0,12.0,,True,,3,3,12.0,True,,0.0;0.0;0.0,0.0,True,
50a7b7eebb982f5cc8543118d4d0302afc8475cdc92c7f883e67a8e6f4446da4,results/phase-4-benchmark-runs.csv,SMALL,36719ab4e0c949b81feafb8c0f083cbdedd273246f8ee63338e3fed04d8c88bc,100.0,0.0,3,16,milp_on_enumerated_patterns,optimal,3,15,15.0,14.5,,True,,1,1,15.0,True,,0.0,0.0,True,
5d7cde942f6f9a9811561fb1c16bb97f0f197f7fd567dcb7f41c33103c0406a0,data/phase-6-final/manifest.json,XL,268daf05c1f28c536573f20bbd06c4dba4453728268e5cb8190679b0eaaea3e4,100.0,0.0,8,30,milp_on_enumerated_patterns,optimal,11,23,23.0,22.5,,True,,3,3,23.0,True,,0.0;0.0;0.0,0.0,True,
6a97075552eaa33fc90b205108ea38eed24df5e00e18099237a5924d12beab13,data/phase-6-final/manifest.json,XL,268daf05c1f28c536573f20bbd06c4dba4453728268e5cb8190679b0eaaea3e4,100.0,0.0,8,50,milp_on_enumerated_patterns,optimal,9,39,39.0,39.0,,True,,3,3,39.0,True,,0.0;0.0;0.0,0.0,True,
a0828ac52b3d58f01bfdadbd2eee43a27a4dc2fb83b298eb885be71d25ab31a2,data/phase-6-final/manifest.json,MEDIUM,0f4bb00c8bfe51bb842bd1aa894506947fff316fcb5774d9f427f4271e0f76eb,100.0,0.0,4,20,milp_on_enumerated_patterns,optimal,4,15,15.0,15.0,,True,,3,3,15.0,True,,0.0;0.0;0.0,0.0,True,
b09c9bbfd876bc77c5440191ebfb1a02f5aa41b774b446ae71d1f3ca862891e9,data/phase-6-final/manifest.json,MEDIUM,0f4bb00c8bfe51bb842bd1aa894506947fff316fcb5774d9f427f4271e0f76eb,100.0,0.0,4,29,milp_on_enumerated_patterns,optimal,12,14,14.0,14.0,,True,,3,3,14.0,True,,0.0;0.0;0.0,0.0,True,
b7dc915107b5020410fb5597772f3b4a18c1dc4ded8e114a35d3dc5e895e96cc,data/phase-6-final/manifest.json,XL,268daf05c1f28c536573f20bbd06c4dba4453728268e5cb8190679b0eaaea3e4,100.0,0.0,8,48,milp_on_enumerated_patterns,optimal,29,24,24.0,23.88888888888889,,True,,3,3,24.0,True,,0.0;0.0;0.0,0.0,True,
d71a500910a2039d84f38704af75d2036160060c50841a11b3d98be280d6f7fd,data/phase-6-final/manifest.json,LARGE,ecdaf63fdab485f4525ae4c3f6239db5fbf224d37475377f863478d7734f8ab7,100.0,0.0,6,44,milp_on_enumerated_patterns,optimal,24,19,19.0,19.0,,True,,3,3,20.0,True,,1.0;1.0;1.0,1.0,False,
d98437a9e4d1ee8f330f95435351e503b39e6dc899a005394a24ce46ef0bfc7d,data/phase-6-final/manifest.json,MEDIUM,0f4bb00c8bfe51bb842bd1aa894506947fff316fcb5774d9f427f4271e0f76eb,100.0,0.0,4,19,milp_on_enumerated_patterns,optimal,4,13,13.0,13.0,,True,,3,3,13.0,True,,0.0;0.0;0.0,0.0,True,
dcb4ba00544ee1aa548605d2e6987cab2d744fbc5d3ec6a99fa3d01c61f74709,results/phase-4-benchmark-runs.csv,SMALL,96bc46475a90fe1a58d8bde47415fa85dbc22bc83992b8892a2c6ba91e1e09b4,100.0,0.0,2,15,milp_on_enumerated_patterns,optimal,2,12,12.0,12.0,,True,,1,1,12.0,True,,0.0,0.0,True,
e89f36850422c2316a18c0e5c220f81c1d6ab1fbeb7c500622d6d755ac5409b2,data/phase-6-final/manifest.json,SMALL,96bc46475a90fe1a58d8bde47415fa85dbc22bc83992b8892a2c6ba91e1e09b4,100.0,0.0,2,9,milp_on_enumerated_patterns,optimal,2,5,5.0,5.0,,True,,3,3,5.0,True,,0.0;0.0;0.0,0.0,True,
